naics,COUNTRY,year,imp_tot
321992,5520,2016,2399258
321999,5520,2016,92108515
322121,5520,2016,10219010
322122,5520,2016,118713
322130,5520,2016,32661
322211,5520,2016,2021512
322212,5520,2016,4744997
322219,5520,2016,369127
322220,5520,2016,19041317
322230,5520,2016,29023620
322291,5520,2016,2818000
322299,5520,2016,4518438
323111,5520,2016,61730367
323117,5520,2016,4955089
324110,5520,2016,53254835
325120,5520,2016,85522
325130,5520,2016,11656097
325180,5520,2016,9907478
325194,5520,2016,492590
325199,5520,2016,29427914
325211,5520,2016,1878029
325212,5520,2016,104336
325220,5520,2016,21540987
325311,5520,2016,59252
325320,5520,2016,2771646
325411,5520,2016,220059
325412,5520,2016,11868720
325414,5520,2016,47879
325510,5520,2016,117303
325520,5520,2016,578974
325611,5520,2016,2912868
325612,5520,2016,7499296
325613,5520,2016,17022605
325620,5520,2016,2881647
325910,5520,2016,181491763
325992,5520,2016,50726
325998,5520,2016,11011739
326111,5520,2016,55732227
326113,5520,2016,19596781
326121,5520,2016,20605
326122,5520,2016,3908879
326160,5520,2016,9235617
326191,5520,2016,234094
326199,5520,2016,148563314
326211,5520,2016,268288347
326220,5520,2016,8155725
326291,5520,2016,1145223
326299,5520,2016,33893040
327110,5520,2016,59832124
327120,5520,2016,2998532
327211,5520,2016,46165
327212,5520,2016,1841864
327213,5520,2016,90867
327215,5520,2016,27373645
327331,5520,2016,1222096
327390,5520,2016,24561861
327420,5520,2016,2208
327910,5520,2016,831051
327991,5520,2016,64561227
327993,5520,2016,660720
327999,5520,2016,1539649
331110,5520,2016,484771582
331222,5520,2016,14855593
331313,5520,2016,527886
331315,5520,2016,66279
331318,5520,2016,53330849
331410,5520,2016,3175103
331420,5520,2016,90806628
331491,5520,2016,36029
331511,5520,2016,428800
331513,5520,2016,623940
331523,5520,2016,460755
331529,5520,2016,397837
332111,5520,2016,9433
332119,5520,2016,22785
332215,5520,2016,116135331
332216,5520,2016,26103974
332311,5520,2016,48540
332312,5520,2016,58242477
332321,5520,2016,2567748
332323,5520,2016,5099232
332410,5520,2016,4252622
332420,5520,2016,512408
332439,5520,2016,695151
332510,5520,2016,32936127
332613,5520,2016,67608
332618,5520,2016,7676959
332722,5520,2016,15303130
332911,5520,2016,40660684
332912,5520,2016,82461562
332913,5520,2016,517861
332919,5520,2016,7422316
332991,5520,2016,9373250
332994,5520,2016,112343
332999,5520,2016,105950727
333111,5520,2016,3678561
333112,5520,2016,920624
333120,5520,2016,25868401
333131,5520,2016,805243
333132,5520,2016,269248
333241,5520,2016,556361
333242,5520,2016,23134122
333243,5520,2016,6741791
333244,5520,2016,18917067
333249,5520,2016,99201944
333314,5520,2016,17894382
333316,5520,2016,2334070
333318,5520,2016,4519348
333413,5520,2016,19176889
333414,5520,2016,522323
333415,5520,2016,13996219
333511,5520,2016,1444669
333514,5520,2016,377768
333515,5520,2016,1120459
333517,5520,2016,4907087
