naics,COUNTRY,year,imp_tot
336112,5700,2016,113106
336120,5700,2016,10703755
336211,5700,2016,1073093
336212,5700,2016,289840034
336214,5700,2016,290814737
336310,5700,2016,789831768
336320,5700,2016,2210808466
336330,5700,2016,1128071414
336340,5700,2016,1498870109
336350,5700,2016,645153743
336360,5700,2016,443717348
336370,5700,2016,28335656
336390,5700,2016,6139909596
336411,5700,2016,15618147
336412,5700,2016,392487439
336413,5700,2016,451493688
336415,5700,2016,392203
336419,5700,2016,1682143
336510,5700,2016,293097040
336611,5700,2016,59413395
336612,5700,2016,75496927
336991,5700,2016,1442489362
336992,5700,2016,201071
336999,5700,2016,387952662
337110,5700,2016,859559275
337121,5700,2016,3360677107
337122,5700,2016,773085026
337124,5700,2016,3056377299
337125,5700,2016,1605379125
337127,5700,2016,6906608793
337211,5700,2016,267985282
337212,5700,2016,947598
337214,5700,2016,159308829
337215,5700,2016,2930087753
337910,5700,2016,504287352
337920,5700,2016,799221687
339112,5700,2016,879675916
339113,5700,2016,2198592390
339114,5700,2016,106155243
339115,5700,2016,1754609939
339116,5700,2016,50738512
339910,5700,2016,3656633734
339920,5700,2016,4849736434
339930,5700,2016,16332345797
339940,5700,2016,1060170013
339950,5700,2016,136782752
339991,5700,2016,364958771
339992,5700,2016,574095747
339993,5700,2016,82900506
339994,5700,2016,1258208339
339995,5700,2016,33742185
339999,5700,2016,6141908256
910000,5700,2016,97923809
930000,5700,2016,335844881
980000,5700,2016,2047787245
990000,5700,2016,3351241225
